SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
032107.88+005933.3 0.7479 19.636 0.039 19.134 0.020 19.063 0.019 19.140 0.025 18.734 0.038  0.000 -9.000 -24.095
032112.15-064949.1 0.9912 19.725 0.041 19.494 0.031 19.322 0.023 19.294 0.027 19.299 0.082 -1.000 -9.000 -24.513
032112.63-063658.7 2.1196 19.991 0.055 19.554 0.029 19.506 0.020 19.402 0.033 19.202 0.062 -1.000 -9.000 -26.213
032113.13-004544.8 2.0073 20.313 0.066 20.207 0.028 20.034 0.026 19.844 0.029 19.577 0.065  0.000 -9.000 -25.664
032113.31+003909.8 1.2962 18.749 0.024 18.501 0.021 18.082 0.016 18.047 0.015 18.198 0.027 -1.000 -9.000 -26.557
032117.29+000050.3 1.3369 20.576 0.074 20.564 0.031 20.269 0.025 20.287 0.035 20.711 0.213  0.000 -9.000 -24.322
032117.64-004000.3 1.2765 20.283 0.069 20.227 0.028 19.957 0.025 19.954 0.029 19.860 0.080 -1.000 -9.000 -24.488
032118.22-010539.9 2.4110 21.091 0.098 19.202 0.022 18.375 0.017 17.758 0.017 17.279 0.025 -1.000 -9.000 -28.191
032118.82+002134.5 2.4258 21.143 0.120 20.566 0.035 20.444 0.035 20.408 0.047 20.147 0.140  0.000 -9.000 -25.645
032119.78+011105.8 0.8552 21.373 0.151 20.800 0.039 20.582 0.042 20.681 0.064 20.844 0.240  0.000 -9.000 -22.905
032121.12-000121.3 1.7055 19.436 0.036 19.290 0.022 19.271 0.022 18.988 0.023 18.914 0.048  0.000 -9.000 -26.191
032122.35-010600.4 1.5693 19.366 0.033 19.052 0.021 18.943 0.018 18.688 0.019 18.709 0.038 -1.000 -9.000 -26.272
032122.80-011420.2 1.9573 20.151 0.050 19.897 0.025 19.688 0.022 19.371 0.024 19.189 0.052  0.000 -9.000 -26.105
032123.68+005032.2 1.1928 20.344 0.062 20.331 0.026 20.019 0.025 19.930 0.033 19.947 0.096  0.000 -9.000 -24.450
032125.79+001359.3 1.7087 20.128 0.055 19.703 0.027 19.416 0.021 19.257 0.028 19.238 0.069 -1.000 -9.000 -25.964
032126.94-001342.7 1.7977 20.530 0.066 20.401 0.029 20.284 0.028 19.995 0.028 19.986 0.094 -1.000 -9.000 -25.282
032128.86-060431.1 0.7745 19.263 0.029 19.069 0.015 19.095 0.029 19.120 0.032 19.048 0.067 -1.000 -9.000 -24.096
032130.12-004907.5 1.6329 21.087 0.119 20.744 0.034 20.691 0.038 20.381 0.039 20.369 0.125 -1.000 -9.000 -24.653
032131.07-003034.4 1.6179 20.263 0.066 19.961 0.025 19.555 0.024 19.201 0.022 19.238 0.058 -1.000 -9.000 -25.806
032132.06+005715.6 1.9887 19.966 0.048 19.926 0.023 19.722 0.022 19.385 0.027 19.197 0.053 -1.000 -9.000 -26.203
032133.10-005659.5 1.6743 20.550 0.070 20.528 0.045 20.424 0.038 20.105 0.043 20.106 0.118 -1.000 -9.000 -24.994
032135.51+003456.9 1.8291 20.471 0.057 20.654 0.037 20.622 0.032 20.215 0.036 20.170 0.109 -1.000 -9.000 -25.168
032136.83-054942.4 1.7114 19.908 0.043 19.770 0.026 19.787 0.028 19.217 0.026 19.356 0.084 -1.000 -9.000 -25.885
032137.64-065044.2 0.8493 20.533 0.077 20.135 0.021 20.145 0.028 20.169 0.042 20.050 0.160 -1.000 -9.000 -23.259
032138.97-001755.3 0.6654 20.099 0.051 19.681 0.024 19.540 0.020 19.342 0.020 19.076 0.048 -1.000 -9.000 -23.547
032139.07-074454.3 1.2491 19.496 0.086 19.107 0.034 18.682 0.016 18.544 0.020 18.395 0.038 -1.000 -9.000 -25.882
032140.00-002711.1 1.8319 20.594 0.082 20.489 0.032 20.464 0.035 20.131 0.035 20.061 0.105 -1.000 -9.000 -25.173
032142.83-003225.7 0.6484 19.736 0.046 19.062 0.021 18.979 0.016 18.797 0.020 18.759 0.043 -1.000 -9.000 -24.014
032143.15-064517.5 0.3655 20.368 0.062 20.088 0.037 19.509 0.018 19.208 0.025 18.718 0.054 -1.000 -9.000 -22.182
032145.37+001112.5 0.9672 20.352 0.062 20.114 0.028 19.791 0.019 19.683 0.022 19.514 0.079 -1.000 -9.000 -24.180
032151.24-001322.7 1.1481 20.078 0.048 19.896 0.020 19.538 0.021 19.569 0.021 19.764 0.077 -1.000 -9.000 -24.641
032156.91+001546.6 1.6458 20.696 0.082 20.526 0.036 20.234 0.032 19.890 0.034 19.847 0.112 -1.000 -9.000 -25.244
032157.29-070608.6 0.7504 19.581 0.034 19.238 0.018 19.042 0.015 19.122 0.022 18.839 0.049 -1.000 -9.000 -24.046
032157.91-002300.2 1.6655 20.362 0.057 20.072 0.021 20.011 0.025 19.868 0.025 20.063 0.099 -1.000 -9.000 -25.216
032158.40-001102.7 2.1531 19.429 0.034 19.155 0.020 18.950 0.020 18.809 0.024 18.669 0.039 -1.000 -9.000 -26.875
032158.91-010037.6 1.7610 20.171 0.054 19.971 0.037 19.683 0.028 19.227 0.027 19.293 0.060 -1.000 -9.000 -25.987
032200.45+005613.6 1.7537 20.421 0.068 20.162 0.024 20.077 0.023 19.713 0.030 19.770 0.085 -1.000 -9.000 -25.594
032205.04+001201.4 0.4714 17.908 0.022 17.611 0.023 17.654 0.012 17.505 0.010 17.323 0.028 -1.000 -9.000 -24.611
032207.25+003953.5 2.1792 21.059 0.098 20.545 0.031 20.266 0.030 20.129 0.039 19.816 0.089 -1.000 -9.000 -25.644
032210.83-074858.6 0.9071 20.811 0.095 20.407 0.033 20.081 0.029 20.154 0.039 20.126 0.151 -1.000 -9.000 -23.516
032211.16-000035.3 2.0677 19.866 0.043 19.760 0.023 19.518 0.023 19.417 0.028 19.143 0.056 -1.000 -9.000 -26.202
032213.89+005513.4 0.1849 17.095 0.027 16.850 0.017 16.605 0.011 16.136 0.019 16.333 0.018 -1.000 -9.000 -23.786
032214.41+005655.7 0.7031 20.254 0.062 19.844 0.022 19.682 0.019 19.716 0.030 19.580 0.072 -1.000 -9.000 -23.409
032218.69+004512.4 0.6163 21.414 0.132 20.860 0.037 20.650 0.040 20.142 0.039 19.859 0.093 -1.000 -9.000 -22.626
032219.43+005401.3 0.6376 21.082 0.107 20.379 0.025 20.155 0.027 19.699 0.026 19.591 0.072 -1.000 -9.000 -23.174
032219.62+010924.3 1.2258 21.306 0.152 20.411 0.033 19.890 0.024 19.709 0.030 19.727 0.090 -1.000 -9.000 -24.744
032219.77-054705.8 1.0743 19.786 0.045 19.369 0.028 18.995 0.021 19.028 0.032 19.017 0.062 -1.000 -9.000 -24.986
032222.34-075927.5 1.2414 19.472 0.038 19.250 0.048 18.902 0.022 18.846 0.019 18.745 0.049 -1.000 -9.000 -25.582
032223.02-000803.5 0.6201 19.956 0.045 19.248 0.020 18.962 0.020 18.605 0.023 18.480 0.040 -1.000 -9.000 -24.120
032224.74-080313.1 1.4300 19.942 0.045 19.821 0.050 19.468 0.025 19.344 0.025 19.384 0.085 -1.000 -9.000 -25.425
032224.87-065622.2 1.8596 19.759 0.043 19.375 0.018 19.179 0.024 18.913 0.023 18.787 0.056 -1.000 -9.000 -26.394
032226.09-055824.7 3.9568 25.937 0.762 21.535 0.061 20.067 0.031 19.971 0.045 20.095 0.138 -1.000 -9.000 -27.015
032226.30-010520.5 3.4252 22.751 0.386 20.723 0.038 20.148 0.023 19.941 0.030 19.656 0.068 -1.000 -9.000 -26.771
032228.98-005628.6 2.9720 21.130 0.119 19.981 0.023 19.461 0.026 19.222 0.028 19.175 0.055 -1.000 -9.000 -27.181
032231.37+000649.6 0.7016 19.934 0.047 19.524 0.024 19.424 0.017 19.416 0.021 19.333 0.067 -1.000 -9.000 -23.687
032232.57+003649.0 1.5950 19.497 0.029 19.220 0.019 19.141 0.018 18.957 0.018 18.918 0.043 -1.000 -9.000 -26.075
032234.07+002149.9 0.3482 19.446 0.045 19.321 0.023 19.078 0.022 19.012 0.024 18.527 0.048 -1.000 -9.000 -22.337
032239.03+004945.6 1.7849 19.699 0.041 19.657 0.054 19.330 0.195 19.101 0.483 18.985 0.592 -1.000 -9.000 -26.234
032239.04-001238.1 1.1464 20.488 0.065 20.600 0.032 20.337 0.026 20.414 0.040 20.146 0.105 -1.000 -9.000 -23.799
032241.25-074534.6 1.2560 19.696 0.048 19.648 0.024 19.310 0.022 19.209 0.026 19.164 0.068 -1.000 -9.000 -25.228
032241.92+000747.9 0.6956 21.084 0.107 20.454 0.030 20.319 0.026 20.315 0.037 19.867 0.101 -1.000 -9.000 -22.786
032244.44+002911.1 2.3866 20.892 0.077 20.249 0.025 20.216 0.026 20.166 0.036 20.069 0.098 -1.000 -9.000 -25.767
032245.21-002504.3 1.2468 20.766 0.077 20.535 0.031 19.979 0.022 19.723 0.028 19.439 0.062 -1.000 -9.000 -24.673
032245.91-081544.6 1.4943 19.785 0.040 19.519 0.027 19.333 0.026 19.114 0.020 18.942 0.058 -1.000 -9.000 -25.762
032246.82-005148.9 1.6838 19.858 0.044 19.529 0.015 19.447 0.024 19.145 0.023 19.047 0.053 -1.000 -9.000 -25.979
032247.32+000326.0 0.6033 18.576 0.025 18.011 0.022 17.778 0.013 17.510 0.013 17.572 0.026 -1.000 -9.000 -25.223
032247.33-055443.6 2.1361 20.724 0.084 20.433 0.031 20.489 0.042 20.254 0.054 20.065 0.143 -1.000 -9.000 -25.372
032249.78-000925.2 2.2146 21.562 0.154 20.757 0.037 20.338 0.034 20.227 0.057 20.093 0.126 -1.000 -9.000 -25.542
032253.09-001121.5 1.8791 20.893 0.089 20.811 0.038 20.582 0.040 20.273 0.039 20.266 0.146 -1.000 -9.000 -25.114
032253.46-071310.7 0.5731 19.158 0.049 18.537 0.012 18.405 0.021 18.180 0.017 18.156 0.032 -1.000 -9.000 -24.346
032255.49+001859.9 0.3838 18.336 0.023 18.177 0.020 18.006 0.017 17.941 0.017 17.709 0.027 -1.000 -9.000 -23.658
032255.93-055320.9 0.7672 19.000 0.033 18.447 0.021 18.387 0.022 18.522 0.025 18.225 0.035 -1.000 -1.771 -24.677
032256.08-010808.9 1.0524 19.894 0.040 19.648 0.025 19.294 0.016 19.326 0.022 19.463 0.057 -1.000 -9.000 -24.674
032256.29-002911.7 0.5934 20.676 0.092 20.260 0.026 20.274 0.030 19.993 0.034 19.892 0.100 -1.000 -9.000 -22.608
032258.12-064515.9 0.6810 20.105 0.049 19.619 0.023 19.614 0.026 19.455 0.032 19.557 0.103 -1.000 -9.000 -23.450
032303.20+011258.8 2.0073 20.020 0.060 19.604 0.027 19.472 0.025 19.385 0.026 19.008 0.055 -1.000 -9.000 -26.221
032304.59-000540.5 0.8246 20.750 0.080 20.345 0.032 20.189 0.031 20.060 0.036 20.016 0.117 -1.000 -9.000 -23.391
032307.22-000235.3 1.5914 19.380 0.031 19.060 0.025 18.989 0.020 18.815 0.020 18.871 0.046 -1.000 -9.000 -26.226
032308.71+005940.7 1.7371 20.784 0.084 20.278 0.027 20.047 0.027 19.580 0.026 19.292 0.052 -1.000 -9.000 -25.701
032309.00-005437.5 0.7087 21.015 0.101 20.419 0.028 20.368 0.036 20.386 0.045 20.104 0.122 -1.000 -9.000 -22.672
032309.09+010450.5 1.5788 21.095 0.128 20.476 0.034 19.997 0.029 19.516 0.027 19.269 0.065 -1.000 -9.000 -25.540
032310.02+001532.0 0.9371 19.414 0.035 19.150 0.021 18.989 0.019 19.117 0.021 19.033 0.059 -1.000 -9.000 -24.685
032310.61+005417.2 1.0599 20.534 0.069 20.163 0.026 19.673 0.023 19.747 0.028 19.748 0.080 -1.000 -9.000 -24.367
032315.16-010831.7 2.4993 20.815 0.075 20.045 0.028 19.935 0.021 19.938 0.031 19.438 0.056 -1.000 -9.000 -26.091
032316.36-073202.5 1.0484 19.195 0.033 18.998 0.028 18.660 0.014 18.597 0.021 18.720 0.047 -1.000 -9.000 -25.403
032323.49+003014.9 1.8377 20.996 0.083 20.592 0.033 20.086 0.027 19.527 0.028 19.321 0.055 -1.000 -9.000 -25.858
032324.30-005854.7 1.5699 19.827 0.044 19.412 0.018 19.041 0.020 18.788 0.022 18.741 0.040 -1.000 -9.000 -26.198
032328.86-055500.4 1.1925 19.177 0.029 18.997 0.019 18.771 0.025 18.760 0.022 18.865 0.054 -1.000 -9.000 -25.501
032329.49+003128.3 1.2417 18.927 0.027 18.937 0.029 18.551 0.013 18.438 0.016 18.469 0.030 -1.000 -9.000 -26.044
032333.63-063254.7 1.4713 19.486 0.035 19.224 0.022 18.900 0.023 18.652 0.028 18.738 0.045 -1.000 -9.000 -26.107
032335.30-074651.4 0.7154 22.148 0.413 21.191 0.054 20.794 0.048 20.557 0.054 19.797 0.117 -1.000 -9.000 -22.521
032335.80-005233.3 2.7523 21.033 0.099 19.912 0.022 19.756 0.024 19.900 0.034 19.432 0.066 -1.000 -9.000 -26.384
032337.64+003555.6 0.2154 18.420 0.023 18.098 0.028 17.858 0.012 17.491 0.014 17.621 0.020 -1.000 -9.000 -22.790
032337.68-061128.8 0.4127 19.676 0.035 19.594 0.024 19.452 0.030 19.281 0.034 18.909 0.049 -1.000 -9.000 -22.430
032338.79+011254.1 1.3287 19.804 0.046 19.343 0.016 18.819 0.020 18.598 0.021 18.443 0.044 -1.000 -9.000 -26.087
032340.35+002002.0 1.5160 20.795 0.093 20.507 0.030 20.257 0.030 19.996 0.040 20.089 0.135 -1.000 -9.000 -25.010
032344.58+005708.8 1.7697 20.468 0.064 19.959 0.024 19.669 0.020 19.412 0.022 19.342 0.059 -1.000 -9.000 -25.903
032345.15+000817.5 0.6059 20.828 0.085 20.211 0.023 20.131 0.023 19.778 0.029 19.930 0.105 -1.000 -9.000 -22.992
032347.34-003151.2 1.5168 21.105 0.133 20.888 0.041 20.608 0.040 20.492 0.048 20.449 0.152 -1.000 -9.000 -24.404
032349.53-002949.8 1.6283 18.594 0.026 18.447 0.026 18.161 0.019 17.904 0.026 17.839 0.025 -1.000 -9.000 -27.157
032349.87-000224.0 0.8300 20.954 0.103 20.310 0.032 19.986 0.025 19.873 0.034 19.400 0.066 -1.000 -9.000 -23.603
032350.03-010055.5 0.4792 20.662 0.076 20.199 0.026 20.130 0.029 19.928 0.036 19.626 0.080 -1.000 -9.000 -22.211
032350.20-011206.1 0.5483 20.966 0.087 20.696 0.037 20.646 0.046 20.361 0.042 20.139 0.102 -1.000 -9.000 -22.074
032352.76+004116.5 1.2454 19.685 0.043 19.586 0.026 19.312 0.020 19.297 0.024 19.362 0.058 -1.000 -9.000 -25.182
032353.70-065617.8 1.0015 19.402 0.033 19.049 0.017 18.773 0.017 18.797 0.021 18.749 0.056 -1.000 -9.000 -25.046
032357.80+002929.0 0.7203 21.116 0.089 20.381 0.035 20.054 0.022 19.916 0.029 19.468 0.075 -1.000 -9.000 -23.299
032358.82-000943.1 0.3466 21.376 0.143 20.624 0.036 19.598 0.025 19.223 0.028 18.665 0.041 -1.000 -9.000 -22.135
032359.56-011156.7 0.9609 20.578 0.066 20.319 0.031 20.049 0.023 20.054 0.033 19.590 0.065 -1.000 -9.000 -23.753
032400.51+004924.8 1.7130 21.125 0.111 20.912 0.039 20.715 0.041 20.288 0.044 20.671 0.177 -1.000 -9.000 -24.940
032402.08-003035.4 1.3119 20.044 0.063 20.004 0.032 19.501 0.023 19.464 0.027 19.479 0.065 -1.000 -9.000 -25.110
032405.19-010140.5 1.5534 20.726 0.088 20.553 0.032 20.487 0.036 20.260 0.044 20.422 0.154 -1.000 -9.000 -24.737
032409.58-004717.6 1.4924 21.236 0.129 20.932 0.039 20.493 0.035 20.232 0.035 20.175 0.104 -1.000 -9.000 -24.642
032412.78+002411.8 1.6820 20.828 0.103 20.548 0.030 20.530 0.040 20.242 0.042 20.341 0.168 -1.000 -9.000 -25.057
032415.59-002606.9 3.0659 22.032 0.314 20.046 0.029 19.710 0.025 19.682 0.028 19.560 0.069 -1.000 -9.000 -26.857
032415.66+010123.6 1.4877 21.502 0.144 20.915 0.039 20.704 0.038 20.331 0.042 20.258 0.132 -1.000 -9.000 -24.594
032415.81-011002.4 1.5090 20.511 0.062 20.273 0.031 19.997 0.023 19.699 0.026 19.647 0.067 -1.000 -9.000 -25.210
032420.37-060357.3 0.6051 20.977 0.119 20.010 0.046 19.732 0.036 19.272 0.029 19.257 0.071 -1.000 -9.000 -23.348
032421.36+004159.2 1.4526 20.673 0.078 20.291 0.031 20.143 0.028 19.965 0.034 19.926 0.092 -1.000 -9.000 -24.902
032426.76+005149.1 0.7722 18.330 0.020 17.993 0.021 17.883 0.018 17.894 0.016 17.730 0.026 -1.000 -9.000 -25.445
032427.38+003538.1 2.4911 20.571 0.061 19.841 0.030 19.656 0.022 19.679 0.026 19.370 0.057 -1.000 -9.000 -26.452
032434.44-000751.6 2.3783 20.780 0.090 20.212 0.041 19.940 0.025 19.906 0.039 19.731 0.084 -1.000 -9.000 -26.071
032437.11+004501.4 2.0560 21.394 0.137 21.037 0.045 21.104 0.056 20.841 0.070 20.332 0.129 -1.000 -9.000 -24.841
032438.97+002326.9 1.7373 21.133 0.128 20.800 0.039 20.585 0.043 20.348 0.048 20.583 0.210 -1.000 -9.000 -25.041
032439.63+000754.0 1.8306 20.780 0.082 20.601 0.031 20.512 0.031 20.167 0.034 20.210 0.140 -1.000 -9.000 -25.293
032450.56+010329.9 2.1782 20.749 0.093 20.128 0.027 20.128 0.030 19.836 0.033 19.314 0.062 -1.000 -9.000 -25.960
032453.75+004525.5 2.0936 18.845 0.029 18.692 0.025 18.612 0.020 18.391 0.026 18.097 0.029 -1.000 -9.000 -27.329
032455.28+000227.5 0.4801 20.592 0.071 20.272 0.028 20.220 0.027 19.896 0.028 19.482 0.075 -1.000 -9.000 -22.299
032457.26-000405.4 1.7181 19.565 0.038 19.502 0.038 19.367 0.020 19.131 0.033 19.076 0.050 -1.000 -9.000 -26.103
032504.59-000652.1 2.7042 21.956 0.223 21.101 0.045 20.703 0.042 20.700 0.057 20.420 0.146 -1.000 -9.000 -25.564
032504.76+000631.3 1.6606 21.958 0.212 21.119 0.040 20.488 0.030 19.902 0.029 19.816 0.101 -1.000 -9.000 -25.279
032505.57-003445.5 2.4983 21.516 0.179 20.604 0.034 20.181 0.037 19.908 0.030 19.628 0.071 -1.000 -9.000 -26.177
032506.94-010027.5 0.5343 21.698 0.185 21.134 0.055 20.730 0.043 20.233 0.047 20.046 0.109 -1.000 -9.000 -22.172
032508.07+011213.5 1.4587 20.357 0.067 20.176 0.030 19.723 0.024 19.543 0.028 19.385 0.065 -1.000 -9.000 -25.309
032508.27-074050.8 1.2779 19.586 0.049 19.004 0.031 18.361 0.023 18.167 0.018 18.059 0.028 -1.000 -9.000 -26.276
032514.81-062912.0 0.8274 17.812 0.014 17.486 0.025 17.343 0.028 17.230 0.015 17.027 0.018 -1.000 -1.802 -26.150
032516.62-070337.3 1.9122 20.406 0.056 20.347 0.033 20.214 0.032 19.755 0.035 19.661 0.096 -1.000 -9.000 -25.603
032518.44-060738.6 0.5699 22.046 0.218 21.219 0.045 20.639 0.064 20.060 0.044 19.590 0.088 -1.000 -9.000 -22.418
032519.46-004501.1 0.7853 19.665 0.042 19.010 0.015 18.693 0.018 18.583 0.017 18.382 0.030 -1.000 -9.000 -24.760
032523.69+002003.4 0.9803 20.678 0.085 20.399 0.031 20.074 0.028 19.987 0.036 20.261 0.148 -1.000 -9.000 -24.013
032524.43-003311.6 0.7872 19.405 0.035 18.713 0.023 18.625 0.028 18.619 0.018 18.345 0.028 -1.000 -9.000 -24.749
032527.38+004022.4 1.3675 21.572 0.153 21.182 0.048 20.288 0.033 19.961 0.038 19.940 0.089 -1.000 -9.000 -24.753
032527.82-065809.5 1.7603 20.070 0.043 19.916 0.029 20.043 0.028 19.918 0.047 19.714 0.105 -1.000 -9.000 -25.252
032528.73+005501.8 0.8008 19.304 0.033 19.017 0.021 18.897 0.016 18.777 0.021 18.641 0.037 -1.000 -9.000 -24.645
032529.97-004123.2 2.2690 20.232 0.062 19.747 0.018 19.583 0.021 19.542 0.023 19.260 0.051 -1.000 -9.000 -26.314
032534.46-010209.1 0.6312 20.466 0.065 20.048 0.033 20.045 0.028 19.814 0.039 19.605 0.076 -1.000 -9.000 -22.975
032535.20-063410.6 1.8164 19.712 0.036 19.660 0.030 19.658 0.027 19.236 0.025 19.123 0.071 -1.000 -9.000 -26.020
032536.62-002805.4 1.8491 19.123 0.031 19.115 0.024 19.011 0.029 18.612 0.019 18.550 0.032 -1.000 -9.000 -26.794
032536.90-005328.4 0.4130 21.818 0.188 21.133 0.058 20.241 0.030 19.575 0.034 18.932 0.045 -1.000 -9.000 -22.188
032541.48-075237.8 0.8967 18.336 0.024 17.915 0.041 17.676 0.017 17.666 0.023 17.599 0.023 -1.000 -9.000 -25.941
032543.83-005234.7 1.1914 20.067 0.051 19.819 0.022 19.602 0.024 19.417 0.029 19.289 0.063 -1.000 -9.000 -24.915
032543.93+001232.6 1.0023 20.164 0.057 20.014 0.024 19.675 0.020 19.634 0.027 19.566 0.081 -1.000 -9.000 -24.328
032544.82-011028.5 1.2727 19.719 0.035 19.652 0.024 19.305 0.018 19.306 0.022 19.433 0.059 -1.000 -9.000 -25.160
032545.70-000820.6 0.7086 20.240 0.056 19.546 0.018 19.361 0.025 19.245 0.027 19.039 0.051 -1.000 -9.000 -23.867
032547.04+001945.4 1.0942 20.675 0.081 20.393 0.028 20.114 0.031 20.138 0.037 19.929 0.118 -1.000 -9.000 -24.086
032549.53-010552.6 1.0758 20.681 0.070 20.575 0.034 20.208 0.026 20.100 0.033 20.084 0.096 -1.000 -9.000 -23.971
032549.83+010027.5 1.1485 21.045 0.108 20.773 0.034 20.330 0.027 20.251 0.040 20.151 0.120 -1.000 -9.000 -24.045
032550.50-005614.9 1.1815 21.027 0.103 21.102 0.048 20.454 0.036 20.609 0.057 20.725 0.204 -1.000 -9.000 -23.690
032551.09-002252.2 1.0648 20.608 0.070 20.388 0.032 19.911 0.020 19.976 0.033 19.700 0.075 -1.000 -9.000 -24.123
032552.04+010603.1 0.5924 20.288 0.065 19.620 0.027 19.356 0.027 19.041 0.024 18.892 0.047 -1.000 -9.000 -23.645
032554.79-001800.2 2.2627 21.351 0.123 20.514 0.026 20.616 0.032 20.539 0.042 20.024 0.097 -1.000 -9.000 -25.330
032556.16-010801.0 1.1085 19.938 0.046 19.745 0.026 19.352 0.021 19.284 0.022 19.382 0.074 -1.000 -9.000 -24.854
032558.40+000932.7 1.5732 20.827 0.088 20.399 0.028 20.170 0.026 19.926 0.033 19.960 0.107 -1.000 -9.000 -25.101
032559.97+000800.7 0.3608 18.210 0.019 18.093 0.020 17.985 0.018 17.963 0.023 17.329 0.029 -1.000 -1.329 -23.511
032605.40-073242.2 1.0539 19.661 0.043 19.428 0.030 19.161 0.026 19.103 0.022 18.940 0.056 -1.000 -9.000 -24.854
032605.62-064916.3 1.8731 18.481 0.023 18.300 0.022 18.195 0.018 17.924 0.015 17.880 0.027 -1.000 -9.000 -27.406
032607.91+004858.7 1.1518 19.322 0.033 19.015 0.019 18.730 0.022 18.699 0.023 18.789 0.043 -1.000 -9.000 -25.616
032608.12-003340.1 4.1585 24.747 1.498 21.448 0.053 19.560 0.032 19.317 0.024 19.330 0.061 -1.000 -9.000 -27.886
032609.67+010246.6 1.1292 20.086 0.053 19.557 0.023 19.002 0.016 18.946 0.020 18.861 0.044 -1.000 -9.000 -25.314
032613.86-073446.5 1.2300 19.352 0.035 19.096 0.027 18.772 0.019 18.750 0.020 18.788 0.048 -1.000 -9.000 -25.577
032614.81-005107.6 1.0617 20.495 0.068 20.361 0.029 20.086 0.029 19.942 0.036 19.828 0.094 -1.000 -9.000 -24.135
032615.28+010141.3 1.6807 20.925 0.098 20.766 0.034 20.508 0.031 20.168 0.037 20.096 0.114 -1.000 -9.000 -25.037
032616.31-005301.9 2.1154 20.903 0.092 20.746 0.037 20.630 0.040 20.409 0.045 20.044 0.111 -1.000 -9.000 -25.280
032620.06-064221.7 1.8978 19.513 0.034 19.199 0.021 19.111 0.019 18.904 0.021 18.924 0.058 -1.000 -9.000 -26.467
032620.52+005333.3 1.0856 20.450 0.068 20.403 0.028 20.043 0.023 19.964 0.031 19.779 0.083 -1.000 -9.000 -24.212
032622.11-000945.6 1.5424 21.475 0.145 20.975 0.039 20.534 0.039 20.085 0.032 19.907 0.096 -1.000 -9.000 -24.903
032622.19-062425.8 0.4561 20.046 0.044 19.497 0.026 19.114 0.023 18.739 0.018 18.545 0.039 -1.000 -9.000 -23.206
032622.72+002051.6 2.3232 21.042 0.107 20.585 0.029 20.497 0.040 20.485 0.046 19.892 0.114 -1.000 -9.000 -25.467
032622.78-005550.1 1.1034 20.579 0.070 20.620 0.034 20.288 0.033 20.205 0.041 20.084 0.115 -1.000 -9.000 -23.945
032625.12+011507.2 2.5977 21.500 0.173 20.733 0.033 20.415 0.038 20.388 0.051 20.030 0.115 -1.000 -9.000 -25.796
032626.46-003528.9 0.6548 20.682 0.089 20.141 0.022 19.883 0.035 19.776 0.030 19.674 0.075 -1.000 -9.000 -23.145
032628.53-002741.4 0.4458 19.819 0.048 19.329 0.017 19.007 0.030 18.765 0.023 18.517 0.035 -1.000 -9.000 -23.222
032633.13-060345.4 1.1100 19.375 0.031 19.318 0.016 19.116 0.035 19.178 0.032 19.138 0.061 -1.000 -9.000 -24.903
032636.23-001538.5 2.3934 21.217 0.109 20.367 0.024 20.241 0.028 20.375 0.035 20.269 0.116 -1.000 -9.000 -25.628
032636.88-065415.4 1.2345 19.972 0.048 19.765 0.024 19.364 0.023 19.295 0.022 19.388 0.078 -1.000 -9.000 -25.058
032638.85-000132.9 1.2646 20.499 0.066 20.085 0.026 19.546 0.024 19.353 0.023 19.220 0.054 -1.000 -9.000 -25.170
032640.46-002657.1 0.4956 20.766 0.097 20.316 0.025 20.143 0.038 19.774 0.030 19.460 0.063 -1.000 -9.000 -22.470
032640.59-064922.7 1.4681 19.875 0.042 19.684 0.023 19.540 0.022 19.416 0.026 19.326 0.080 -1.000 -9.000 -25.347
032640.99+005350.0 1.6272 21.250 0.135 21.187 0.042 20.934 0.039 20.526 0.045 20.484 0.154 -1.000 -9.000 -24.632
032643.34+003510.8 3.2184 23.099 0.384 20.635 0.038 20.015 0.024 19.834 0.029 19.870 0.084 -1.000 -9.000 -26.858
032643.50+001958.2 1.4790 21.019 0.105 20.758 0.031 20.578 0.042 20.316 0.040 20.356 0.164 -1.000 -9.000 -24.590
032648.28-004727.1 1.2030 19.856 0.051 19.806 0.020 19.513 0.017 19.455 0.024 19.505 0.060 -1.000 -9.000 -24.934
032650.28+005921.2 1.5006 20.900 0.097 20.517 0.029 20.261 0.026 20.030 0.032 20.137 0.117 -1.000 -9.000 -24.942
032650.29-073840.1 2.2072 20.424 0.066 20.122 0.023 20.176 0.030 20.046 0.035 19.635 0.092 -1.000 -9.000 -25.643
032651.68-002741.7 1.9075 20.562 0.083 20.555 0.032 20.458 0.042 20.167 0.037 20.147 0.111 -1.000 -9.000 -25.311
032656.14-005355.2 1.4920 20.855 0.107 20.927 0.040 20.341 0.034 20.005 0.034 19.696 0.078 -1.000 -9.000 -24.870
032657.65-061828.8 1.6654 20.611 0.068 20.444 0.036 20.349 0.036 20.085 0.043 20.134 0.140 -1.000 -9.000 -24.963
032657.78+000224.8 1.7310 20.032 0.052 19.802 0.029 19.762 0.029 19.458 0.031 19.393 0.069 -1.000 -9.000 -25.818
032658.30+011100.4 1.7285 20.833 0.097 20.660 0.035 20.712 0.059 20.253 0.054 20.007 0.111 -1.000 -9.000 -24.997
032701.43-002207.1 2.3020 19.773 0.041 19.190 0.017 18.924 0.019 18.681 0.015 18.419 0.036 -1.000 -9.000 -27.231
